2025-04-24T13:11:45+00:00
Running ./bench/bench
Run on (12 X 4400 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 512 KiB (x6)
  L3 Unified 12288 KiB (x1)
Load Average: 0.37, 0.19, 0.09
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cpu cycles"
"MatmulBenchmark/Naive",0,2.5882e+14,6.30384e+06,ns,,,,,,1.21477e+09
"MatmulBenchmark/Naive",0,2.5882e+14,4.74333e+08,ns,,,,,,1.21322e+09
"MatmulBenchmark/Naive",0,2.5882e+14,9.42111e+08,ns,,,,,,1.23298e+09
"MatmulBenchmark/Naive",0,2.58821e+14,1.41741e+09,ns,,,,,,1.21327e+09
"MatmulBenchmark/Naive",0,2.58821e+14,1.88501e+09,ns,,,,,,1.22341e+09
"MatmulBenchmark/Naive",0,2.58822e+14,2.35669e+09,ns,,,,,,1.22175e+09
"MatmulBenchmark/Naive",0,2.58822e+14,2.82754e+09,ns,,,,,,1.21243e+09
"MatmulBenchmark/Naive",0,2.58823e+14,3.29502e+09,ns,,,,,,1.21405e+09
"MatmulBenchmark/Naive_mean",8,inf,inf,ns,,,,,,1.21824e+09
"MatmulBenchmark/Naive_median",8,inf,inf,ns,,,,,,1.21441e+09
"MatmulBenchmark/Naive_stddev",8,inf,inf,ns,,,,,,7.26648e+06
"MatmulBenchmark/Naive_cv",8,4.45458e-06,0.697825,,,,,,,0.00596476
"MatmulBenchmark/AVX2",0,2.58823e+14,3.76305e+09,ns,,,,,,9.04257e+07
"MatmulBenchmark/AVX2",0,2.58823e+14,3.79796e+09,ns,,,,,,9.02579e+07
"MatmulBenchmark/AVX2",0,2.58823e+14,3.8328e+09,ns,,,,,,9.03573e+07
"MatmulBenchmark/AVX2",0,2.58823e+14,3.86769e+09,ns,,,,,,9.07603e+07
"MatmulBenchmark/AVX2",0,2.58823e+14,3.90273e+09,ns,,,,,,9.02196e+07
"MatmulBenchmark/AVX2",0,2.58823e+14,3.93757e+09,ns,,,,,,9.04312e+07
"MatmulBenchmark/AVX2",0,2.58824e+14,3.97248e+09,ns,,,,,,9.02848e+07
"MatmulBenchmark/AVX2",0,2.58824e+14,4.00734e+09,ns,,,,,,9.02752e+07
"MatmulBenchmark/AVX2_mean",8,inf,inf,ns,,,,,,9.03765e+07
"MatmulBenchmark/AVX2_median",8,inf,inf,ns,,,,,,9.03211e+07
"MatmulBenchmark/AVX2_stddev",8,inf,inf,ns,,,,,,173373
"MatmulBenchmark/AVX2_cv",8,3.30853e-07,0.022006,,,,,,,0.00191834
"MatmulBenchmark/AVX512",0,2.58824e+14,4.04228e+09,ns,,,,,,6.20259e+07
"MatmulBenchmark/AVX512",0,2.58824e+14,4.06624e+09,ns,,,,,,6.20152e+07
"MatmulBenchmark/AVX512",0,2.58824e+14,4.09021e+09,ns,,,,,,6.19495e+07
"MatmulBenchmark/AVX512",0,2.58824e+14,4.11414e+09,ns,,,,,,6.19261e+07
"MatmulBenchmark/AVX512",0,2.58824e+14,4.13807e+09,ns,,,,,,6.19412e+07
"MatmulBenchmark/AVX512",0,2.58824e+14,4.162e+09,ns,,,,,,6.1979e+07
"MatmulBenchmark/AVX512",0,2.58824e+14,4.18596e+09,ns,,,,,,6.20216e+07
"MatmulBenchmark/AVX512",0,2.58824e+14,4.20991e+09,ns,,,,,,6.19724e+07
"MatmulBenchmark/AVX512_mean",8,inf,inf,ns,,,,,,6.19789e+07
"MatmulBenchmark/AVX512_median",8,inf,inf,ns,,,,,,6.19757e+07
"MatmulBenchmark/AVX512_stddev",8,inf,inf,ns,,,,,,38663.3
"MatmulBenchmark/AVX512_cv",8,2.27031e-07,0.0142149,,,,,,,0.000623814
"MatmulBenchmark/OpenBLAS",0,2.58824e+14,4.23393e+09,ns,,,,,,7.36422e+07
"MatmulBenchmark/OpenBLAS",0,2.58824e+14,4.26237e+09,ns,,,,,,7.39642e+07
"MatmulBenchmark/OpenBLAS",0,2.58824e+14,4.29081e+09,ns,,,,,,7.35613e+07
"MatmulBenchmark/OpenBLAS",0,2.58824e+14,4.31923e+09,ns,,,,,,7.35665e+07
"MatmulBenchmark/OpenBLAS",0,2.58824e+14,4.34764e+09,ns,,,,,,7.35451e+07
"MatmulBenchmark/OpenBLAS",0,2.58824e+14,4.37605e+09,ns,,,,,,7.35462e+07
"MatmulBenchmark/OpenBLAS",0,2.58824e+14,4.40446e+09,ns,,,,,,7.36059e+07
"MatmulBenchmark/OpenBLAS",0,2.58824e+14,4.43289e+09,ns,,,,,,7.35541e+07
"MatmulBenchmark/OpenBLAS_mean",8,inf,inf,ns,,,,,,7.36232e+07
"MatmulBenchmark/OpenBLAS_median",8,inf,inf,ns,,,,,,7.35639e+07
"MatmulBenchmark/OpenBLAS_stddev",8,inf,inf,ns,,,,,,141827
"MatmulBenchmark/OpenBLAS_cv",8,2.69497e-07,0.0160648,,,,,,,0.0019264
